Account ID,Account Name,Total Calls,Last Call Date,Calls - Nick Martino,Calls - Ryan Minter,Calls - Alicia Gopal,Calls - Emily Murnane,Calls - Ali Cohen,Calls - Ben Laddis,Calls - Sydney Ireland,Calls - Catherine Silvestri,Calls - Jenny Allison,Calls - Lucy Nemerov,Calls - Leila Assil,Calls - Joe del Rosario,Calls - Quinzel Perry,Calls - Hugh Bargeron,Calls - Andy Blakely,Calls - Blake Anderson,Calls - Mihir Shah,Calls - Maia Golub,Calls - Shane Lieberman,Calls - Granger West
001Hr000028ZdcO,"City Of Somerville, MA",114,2026-05-18,,,95,,,,,,19,,,,,,,,,,,
001Hr000028ZczI,"City Of Hyattsville, MD",91,2026-06-04,15,,,,,,,,,76,,,,,,,,,,
001Hr000028ZcFp,"City Of Malibu, CA",89,2026-04-09,,35,,,,,,48,,,,6,,,,,,,,
001Hr000028ZcBS,"Town Of Webster, NY",87,2026-05-28,,,81,,,,,,,,,6,,,,,,,,
001Hr000028Zdb7,"City Of Bloomington, IL",86,2026-05-18,86,,,,,,,,,,,,,,,,,,,
001Hr000028ZdIN,"City Of St Charles, IL",82,2026-06-04,56,,,,,,,,,,,,26,,,,,,,
001Hr000028Zd3o,"City Of Greenwood, MS",81,2026-06-03,,9,,,,,,,,,,,,,72,,,,,
001Hr000028ZdBx,"City Of Annapolis, MD",77,2026-06-04,37,,,,,,,,,40,,,,,,,,,,
001cv00000AuZVd,"County Of Graham, NC",76,2026-04-20,76,,,,,,,,,,,,,,,,,,,
001Hr000028Zd7x,"City Of Quincy, IL",76,2026-06-04,,,,,,,,,,76,,,,,,,,,,
001Hr000028ZdZH,"County Of Bulloch, GA",73,2026-05-29,,,,,,,,,,,,,61,12,,,,,,
001Hr000028ZdBG,"City Of Minnetonka, MN",73,2025-12-11,50,,,,,,,,,,23,,,,,,,,,
001cv00000AuZig,"Town Of Falmouth, ME",72,2026-06-03,,,58,,,,,,14,,,,,,,,,,,
001Hr000028Zd0c,"City Of South Portland, ME",70,2026-06-03,,,61,,,,,,9,,,,,,,,,,,
001cv00000AuZtH,"County Of Polk, NC",68,2026-04-21,68,,,,,,,,,,,,,,,,,,,
001Hr000028Zcsp,"City Of Solana Beach, CA",64,2026-06-01,,,30,,,,,,,,34,,,,,,,,,
001Hr000028ZcFx,"City Of Placentia, CA",64,2026-01-13,,64,,,,,,,,,,,,,,,,,,
001Hr000028ZcKA,"City Of Canyon, TX",64,2026-05-29,,,47,,,,,,,17,,,,,,,,,,
001Hr000028ZdQl,"Town Of Hoosick, NY",62,2026-03-19,,,,,,,,,,,,11,,,51,,,,,
001Hr000028ZcAg,"City Of Tuskegee, AL",62,2026-03-27,62,,,,,,,,,,,,,,,,,,,
001Hr000028Zczm,"Town Of Bridgewater, MA",59,2026-05-14,,,44,,,,1,,,,14,,,,,,,,,
001cv00000AuZZC,"City Of Helena-West Helena, AR",58,2026-06-04,,32,,,,,,,,,,,,17,9,,,,,
001Hr000028Zcak,"City Of Highland Village, TX",56,2026-03-11,,,,22,,,,,,,31,3,,,,,,,,
001Hr000028Zczy,"City Of Maumee, OH",56,2026-05-27,,,,41,,,,,,,,,,,,,15,,,
001Hr000028Zd8d,"City Of Ridgecrest, CA",55,2026-04-22,,,,,55,,,,,,,,,,,,,,,
001Hr000028ZdFU,"City Of West Hollywood, CA",55,2026-06-03,,2,3,,,,,50,,,,,,,,,,,,
001Hr000028Zjxt,"City of Yonkers, NY",55,2026-05-26,,,10,,,45,,,,,,,,,,,,,,
001Hr000028ZbsK,"City Of Pleasanton, TX",53,2026-05-21,,,,14,,,,2,,32,5,,,,,,,,,
001Hr000028ZcYL,City of Lewisville,52,2026-06-04,,2,,,,,,,,,,16,,,,34,,,,
001Hr000028ZcVg,"City Of Center, TX",52,2026-05-21,,,19,,,,,,,33,,,,,,,,,,
001Hr000028ZcYH,"City Of Mt Juliet City, TN",52,2026-06-02,,,,,,,23,,28,,,,,,1,,,,,
001Hr000028ZdWA,"City Of Ravenna, OH",51,2026-05-21,,,,34,,,,,,,2,,,,,,15,,,
001Hr000028ZcZg,"Town Of Fairfax, CA",51,2026-05-12,,,,,,,,33,,,,18,,,,,,,,
001Hr000028Zc5I,"City Of Tomball, TX",51,2026-06-01,,18,,,,,,,,,,,,,,33,,,,
001Hr000028ZdWk,"City Of Maple Grove, MN",51,2025-10-10,51,,,,,,,,,,,,,,,,,,,
001Hr000028ZdGJ,"City of Saint Charles, MO",50,2026-02-23,,,,,,44,,,,,,,6,,,,,,,
001Hr000028ZdZF,"City Of Fairborn, OH",50,2026-06-04,,,,19,,,,,,,14,,,,,,17,,,
001Hr000028ZdD8,"City Of Papillion, NE",50,2026-05-27,,27,,,,23,,,,,,,,,,,,,,
001Hr000028ZcdF,"Village Of Pinehurst, NC",50,2026-01-23,50,,,,,,,,,,,,,,,,,,,
001cv00000AuaUt,"County Of Geauga, OH",50,2026-06-03,,,,37,,,,,,,,,,,,,13,,,
001Hr000028Zdia,"City Of Mishawaka, IN",49,2026-05-11,,,,,12,,18,,,,,,19,,,,,,,
001Hr000028ZcSc,"City Of Lake Station, IN",49,2026-04-07,,,,,,,27,,,,,,22,,,,,,,
001Hr000028Zdd4,"City Of Brooklyn Park, MN",49,2026-06-02,49,,,,,,,,,,,,,,,,,,,
001cv00000AuaUm,"County Of Calvert, MD",49,2026-04-28,,,,,49,,,,,,,,,,,,,,,
001Hr000028Zbt0,"City Of Charlottesville, VA",49,2026-05-07,,,,,49,,,,,,,,,,,,,,,
001Hr000028Zc1X,"City Of Douglasville, GA",48,2026-06-04,,,,,,,,,,,,,12,36,,,,,,
001Hr000028ZcXu,"City Of Fulton, MO",47,2026-03-19,,,,,,34,,,,,,13,,,,,,,,
001Hr000028ZcIs,"Town Of Hilton Head Island, SC",47,2026-05-28,,12,,,,,,,,,,15,,20,,,,,,
001Hr000028ZdJe,"City Of Glenpool, OK",47,2026-05-14,,,21,,,,,,,26,,,,,,,,,,
001Hr000028ZcFr,"City Of West Richland, WA",47,2026-06-02,,,21,,,,,26,,,,,,,,,,,,
