Account ID,Full Name,Title,Function,Last Activity
001cv00000AuZRS,A. Blake,Building Inspector,bp,
001Hr000028ZcUf,A.J. Cain,Buildings and Grounds Director,bp,
001Hr000028ZdAX,A.J. Ortega,Building Official,bp,2026-06-03
001Hr000028ZbwB,AJ Davis,Plans Examiner MEP,bp,2026-01-20
001Hr000028Zd0K,AJ O'Connell,Building Official,bp,2026-06-02
001Hr000028Zd5r,AJ Shinn,Chief Building Official,bp,2026-01-13
001Hr000028ZbuF,Aaaron Gillum,Building Official,bp,
001Hr000028ZcUh,Aaron Barnes,Interim Chief Building Official,bp,2025-09-30
001Hr000028ZbWo,Aaron Bush,Building Inspector,bp,
001Hr000028ZcdT,Aaron Decker,Building Inspector,bp,2026-01-21
001Hr000028Zbqp,Aaron Eaton,Deputy Building Official,bp,
001Hr000028ZcFi,Aaron Flook,"Director, Building, Housing and Codes Enforcement",bp,2026-06-10
001Hr000028Zcyy,Aaron Gortney,Building Official,bp,2026-06-03
001cv00000AuYJI,Aaron Hecock,Planning and Building Director,bp,2026-04-17
001Hr000028Zd7O,Aaron Holbach,Building Inspector,bp,
001Hr000028ZdAa,Aaron Holbach,Building Inspector,bp,
001cv00000AuZSE,Aaron Johnson,City Inspector | Building Official,bp,2026-03-04
001cv00000B2Gu1,Aaron Johnson,City Administrator | Floodplain Administrator,bp,2025-06-24
001Hr000028ZbuE,Aaron Jordan,Building Commissioner,bp,
001Hr000028Zd4x,Aaron Knight,Commercial Inspector,bp,
001Hr000028ZcZw,Aaron Kuhns,Chief Building Official,bp,2026-06-15
001cv000006fSjK,Aaron Manheim,Building Inspector,bp,2026-04-01
001cv00000AuXNi,Aaron Marriott,Village Clerk | Permits Coordinator,bp,
001Hr000028Zc4y,Aaron Odom,Code Inspector,bp,2025-09-09
001Hr000028ZdhK,Aaron Ross,Building Inspector,bp,
001Hr000028ZdPU,Aaron Rust,Building Inspector,bp,
001cv00000AuVkl,Aaron Rust,Chief Building Official,bp,2025-07-30
001cv00000lhUat,Aaron Schwartz,Building Services Coordinator,bp,
001Hr000028ZcQH,Aaron Sims,Building Official,bp,2025-02-27
001cv00000AuYNF,Aaron Smith,Building Code Inspector,bp,
001cv00000EF8QI,Aaron Spielman,"Building Division Chief, DPW",bp,
001Hr000028Zcrk,Aaron Stasiw,Zoning Officer | Building Code Official,bp,2025-10-28
001Hr000028Zch0,Aaron Thomas,Building Code Enforcement Officer,bp,
001Hr000028ZdAN,Aaron Wozniak,Building Code Official,bp,2026-09-09
001cv00000CLwx7,Aaron Wozniak,Building Code Official,bp,
001Hr000028Zc0b,Aaron Yuma,Building Official,bp,2025-03-27
001Hr000028ZdAW,Aaron Yuma,Building Official,bp,2026-05-26
001Hr000028Zbwv,Aaron Zilz,Building Official,bp,
001Hr000028ZcvT,Abbie DuFore,Building Clerk,bp,2026-03-03
001Hr000028Zc8f,Abbie Johnson,Engineer Aide | Permit Technician,bp,
001Hr000028Zc8f,Abbie King,Permit Tech,bp,2025-11-10
001Hr000028ZcnP,Abbot Martin,Building Manager,bp,2025-09-26
001Hr000028Zc24,Abigail Izquierdo,Permit Technician,bp,2025-10-23
001Hr000028Zd6L,Abner Brown,Chief Building Inspector,bp,2026-02-19
001Hr000028ZdYS,Abony Parker,Building and Planning Commission Deputy Director,bp,2025-10-29
001Hr000028ZdJX,Abraham Herrera,Building Inspections Manager,bp,2026-06-04
001Hr000028ZcYG,Abraham Prado,Planning and Building Director,bp,2026-02-20
001Hr000028ZbwA,Adam Alexander,Electrical Inspector,bp,
001Hr000028Zbu0,Adam Alford,Building Inspector,bp,2026-02-19
001Hr000028Zd77,Adam Backus,Building and Zoning Director,bp,2025-12-01
001Hr000028Zd53,Adam Bey,Zoning Inspector,bp,2026-05-08
001Hr000028Zcof,Adam Bolton,Building Inspector,bp,2026-04-24
001Hr000028ZdUi,Adam Booth,Fiscal Officer/Zoning Inspector,bp,2026-03-02
001Hr000028ZcwJ,Adam Bradstreet,Deputy Building Official,bp,2025-11-20
001cv00000AuYDG,Adam Brown,Fire Inspector,bp,
001Hr000028Zddl,Adam Buchanan,Plans Examiner,bp,2024-11-12
001cv00000AuYuQ,Adam Buchanan,Plans Examiner,bp,
001cv00000AuZVW,Adam Casarez,Backup Building Inspector,bp,
001Hr000028ZdBK,Adam Chrostowski,Assistant Building Official,bp,
001cv00000AuaJm,Adam Combs,Building Commissioner,bp,2026-06-05
001Hr000028ZcWq,Adam Dahlgren,Chief Building Inspector,bp,2025-01-30
001Hr000028ZdOc,Adam Dahlgren,Building Permit,bp,2026-03-03
001Hr000028Zcci,Adam Denio,City Building Inspector,bp,2025-04-01
001Hr000028Zdey,Adam Dodd,Chief Building Official,bp,
001Hr000028Zcke,Adam Eklofe,Building Inspector,bp,2025-02-04
001cv00000AuaKd,Adam Gainey,Building Inspector,bp,2026-05-21
001Hr000028ZcxH,Adam Gee,Building and Zoning Officer,bp,
001Hr000028Zdl8,Adam Gleason,Building Inspector,bp,
001Hr000028ZcrE,Adam Gordon,Building Inspector,bp,2026-03-25
001cv00000B221B,Adam Gordon,Building Inspector,bp,
001Hr000028ZdMK,Adam Grimsley,City Inspector,bp,2025-07-29
001Hr000028Ze5u,Adam Hlad,Chief Building Inspector,bp,2026-04-30
001Hr000028Zbxx,Adam Johnson,Building Official,bp,2026-02-18
001Hr000028Zduq,Adam King,Director & Building Official,bp,2026-04-30
001Hr000028ZcW8,Adam Liles,Building Official,bp,2026-01-20
001Hr000028ZdFI,Adam Maier,Building Inspection Program Manager,bp,
001Hr000028ZceU,Adam Mannausau,"Fire Chief, EMS Director, Housing Inspector",bp,
001Hr000028ZcW9,Adam McCarey,Building Department Comissioner,bp,2026-01-29
001cv00000AuYOJ,Adam McFarlin,City Building Inspector,bp,
001Hr000028Zci1,Adam Mitchell,Building Official,bp,2026-01-20
001Hr000028Zd3t,Adam Nielsen,Building Official Director,bp,2026-04-30
001Hr000028ZciO,Adam Ostert,Chief Building Official,bp,2026-02-05
001Hr000028Zd7i,Adam Panas,Planner/Zoning Inspector,bp,2024-09-27
001Hr000028ZdSx,Adam Pillard,Building Inspector,bp,2024-10-03
001cv00000AuYN4,Adam Pillard,Building Inspector,bp,
001Hr000028ZcuC,Adam Reed,Building Inspector,bp,
001Hr000028Zbqs,Adam Richins,Building Official/County Planner,bp,2026-01-30
001Hr000028Zbqs,Adam Richins,County Planner and Building Official,bp,2026-01-30
001Hr000028ZcnR,Adam Roberson,Building Official,bp,2026-04-23
001Hr000028ZdAO,Adam Rude,Director of Planning and Building,bp,2026-05-12
001Hr000028Zc85,Adam Schminski,Building Official,bp,
001Hr000028Zdrr,Adam Short,Planning & Inspections Director,bp,2025-04-08
001Hr000028ZdDr,Adam Smith,Building & Safety Department,bp,
001Hr000028ZciI,Adam Tekunoff,Building Inspector,bp,2025-10-06
001Hr000028ZbyP,Adam Tekunoff,Chief Building Official,bp,2026-05-19
001Hr000028ZcqW,Adam Weinstein,Planning and Building Director,bp,2026-06-08
001Hr000028Zdry,Adam Willard,Inspections Coordinator,bp,
001Hr000028Zcis,Adam Wolff,Town Manager/Director of Planning and Building,bp,2026-05-14
001cv00000AuZMO,Adam Zaklikowski,Planning & Building Director | AICP Certified Planner,bp,
001Hr000028ZcsG,Adaris Ortiz,Building P&Z Clerk,bp,2026-05-27
001cv00000AuYT7,Addison Larson,Administrative Assistant (Building),bp,2026-02-11
001cv00000AuXNp,Adele FaRannte,Borough Manager | Zoning/Permits Coordinator,bp,
001Hr000028Zcud,Adelia Teel,Permit Technician,bp,
001Hr000028ZchU,Adina Allegretto,Building Department,bp,
001Hr000028ZbpS,Adrian Alegria,Building Official,bp,2026-04-28
001Hr000028ZbdI,Adrian Miller,Permit Representative,bp,2024-10-10
001cv00000AuXAZ,Adrian Snell,Building Inspector,bp,
001cv00000AuZoZ,Adrian Snell,Building Inspector,bp,2026-04-17
001Hr000028ZdeO,Adriana Conde,Permit Technician,bp,
001Hr000028Zdef,Adrienne Brown,Permitting Coordinator,bp,2026-03-09
001Hr000028Zcsy,Adrienne Dulkoski,Permit Coordinator,bp,2026-05-22
001Hr000028Zdac,Agostino Roma,Building Inspector,bp,
001Hr000028Zbtv,Agustin Garcia,Building Director,bp,2026-04-23
001cv00000bBWTf,Ahmed Sileem,Construction Official/ Acting Building Sub Code Official,bp,2026-06-01
001cv00000AuYs2,Aida Orozco,Utility Billing / Permit Clerk,bp,2025-07-01
001Hr000028Zcn5,Aidan Holloway,Building Official,bp,
001Hr000028Zbpa,Aimee Argo,Chief Building Inspector,bp,2024-05-10
