Account ID,Account Name,Opp Status,Stage,Signal,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR
001Hr000028Zcyp,"Ada Township, MI",Open,Initial Interest,Top Funnel,Top of Funnel,Jenny Allison,,11/3/2025,
001Hr000028Zd95,"Alamance County, NC",Closed Lost,,Lost,,Shane Lieberman,8/21/2024,1/5/2025,45000
001Hr000028Zdnm,"Albemarle County, VA",Open,Sales Qualified,Mid Funnel,Mid Funnel,Ali Cohen,3/5/2026,2/18/2026,
001Hr000028ZdiC,"Ascension Parish, LA",Open,Initial Interest,Top Funnel,Top of Funnel,Asher Rosenfeld,,1/5/2025,
001Hr000028ZdfX,"Bath Township (Greene County), OH",Open,Initial Interest,Top Funnel,Top of Funnel,Granger West,12/12/2024,1/5/2025,
001Hr000028ZdWI,"Berkeley County, SC",Open,Initial Interest,Top Funnel,Top of Funnel,Alicia Gopal,,10/26/2025,
001Hr000028Zcdd,"Boone County, IN",Open,Proposal,Mid Funnel,Mid Funnel,Sydney Ireland,3/11/2026,1/20/2026,42000
001Hr000028Zcso,"Borough Of Audubon, NJ",Open,Meeting Booked,Top Funnel,Top of Funnel,Sydney Ireland,6/12/2026,6/3/2026,
001cv00000AuZS7,"Borough Of Brielle, NJ",Closed Lost,,Lost,,Ryan Minter,10/21/2025,10/14/2025,24000
001Hr000028ZcHL,"Borough Of Chambersburg, PA",Closed Lost,,Lost,,Joe del Rosario,6/4/2025,6/4/2025,49500
001Hr000028ZcOp,"Borough Of Clarion, PA",Closed Lost,,Lost,,Troy LeCaire,,1/5/2025,
001cv00000AuZ7h,"Borough Of Clementon, NJ",Open,Initial Interest,Top Funnel,Top of Funnel,Sydney Ireland,5/20/2026,5/13/2026,
001Hr000028Zbye,"Borough Of Clifton Heights, PA",Open,Initial Interest,Top Funnel,Top of Funnel,Quinzel Perry,6/12/2025,5/22/2025,
001Hr000028Zbo6,"Borough Of Columbia, PA",Open,Initial Interest,Top Funnel,Top of Funnel,Ali Cohen,,11/18/2025,
001Hr000028ZcLg,"Borough Of Conshohocken, PA",Open,Initial Interest,Top Funnel,Top of Funnel,Granger West,,9/17/2025,
001cv00000AuYLE,"Borough Of Coplay, PA",Closed Lost,,Lost,,Catherine Silvestri,5/15/2026,5/12/2026,
001Hr000028ZcHm,"Borough Of Darby, PA",Open,Meeting Booked,Top Funnel,Top of Funnel,Sydney Ireland,7/8/2026,5/15/2026,
001Hr000028Zc51,"Borough Of Economy, PA",Open,Initial Interest,Top Funnel,Top of Funnel,Quinzel Perry,5/21/2025,5/14/2025,
001Hr000028ZcIj,"Borough Of Ephrata, PA",Closed Lost,,Lost,,Joe del Rosario,1/29/2025,1/8/2025,14000
